r    u(r)
0.1    -0.146421
0.2    -0.285744
0.3    -0.411658
0.4    -0.5193
0.5    -0.605697
0.6    -0.669928
0.7    -0.712993
0.8    -0.737436
0.9    -0.746796
1    -0.744995
1.1    -0.735757
1.2    -0.722168
1.3    -0.706401
1.4    -0.68965
1.5    -0.672249
1.6    -0.653905
1.7    -0.634012
1.8    -0.611948
1.9    -0.587322
2    -0.560116
2.1    -0.530723
2.2    -0.499887
2.3    -0.468567
2.4    -0.437773
2.5    -0.408404
2.6    -0.381117
2.7    -0.356254
2.8    -0.333827
2.9    -0.31356
3    -0.294967
3.1    -0.277458
3.2    -0.260439
3.3    -0.243406
3.4    -0.226003
3.5    -0.208056
3.6    -0.189573
3.7    -0.170724
3.8    -0.151792
3.9    -0.133133
4    -0.115117
4.1    -0.0980936
4.2    -0.0823519
4.3    -0.0681049
4.4    -0.0554795
4.5    -0.0445186
4.6    -0.035191
4.7    -0.027406
4.8    -0.0210296
4.9    -0.0159019
5    -0.0118511
5.1    -0.00870609
5.2    -0.00630536
5.3    -0.00450279
5.4    -0.00317105
5.5    -0.00220259
5.6    -0.00150916
5.7    -0.00102015
5.8    -0.000680424
5.9    -0.000447849
6    -0.000290919
6.1    -0.000186531
6.2    -0.000118063
6.3    -7.37749e-05
6.4    -4.55171e-05
6.5    -2.77302e-05
6.6    -1.66833e-05
6.7    -9.9129e-06
6.8    -5.81759e-06
6.9    -3.37243e-06
7    -1.93122e-06
7.1    -1.09255e-06
7.2    -6.10661e-07
7.3    -3.37238e-07
7.4    -1.84025e-07
7.5    -9.9231e-08
7.6    -5.28776e-08
7.7    -2.78467e-08
7.8    -1.44935e-08
7.9    -7.45586e-09
8    -3.79107e-09
8.1    -1.90541e-09
8.2    -9.46661e-10
8.3    -4.64943e-10
8.4    -2.25746e-10
8.5    -1.08361e-10
8.6    -5.14253e-11
8.7    -2.41293e-11
8.8    -1.11941e-11
8.9    -5.13487e-12
9    -2.32904e-12
9.1    -1.04458e-12
9.2    -4.63281e-13
9.3    -2.03185e-13
9.4    -8.81242e-14
9.5    -3.7798e-14
9.6    -1.60333e-14
9.7    -6.72616e-15
9.8    -2.7907e-15
9.9    -1.14517e-15
10    -4.64782e-16
