b value                          ground state eigenvalue
1        -20.6297
2        -33.4777
3        -40.1218
4        -43.2855
5        -44.7209
6        -45.337
7        -45.575
8        -45.6476
9        -45.6588
10        -45.6591
11        -45.6699
12        -45.6953
13        -45.73
14        -45.7658
15        -45.796
16        -45.8178
17        -45.8309
18        -45.8372
19        -45.8392
20        -45.8394
21        -45.8396
22        -45.8411
23        -45.8443
24        -45.8493
25        -45.8556
26        -45.8624
27        -45.8693
28        -45.8755
29        -45.8807
30        -45.8846
31        -45.8874
32        -45.8891
33        -45.89
34        -45.8903
35        -45.8903
36        -45.8903
37        -45.8905
38        -45.891
39        -45.8919
40        -45.8931
