# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=10, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.0100  7.864231103298720e-03  6.051067140804335e-01  1.830770677126097e-01  1.220793690377856e-03
0.0200  1.260970462567701e-02  3.637125480444638e-01  6.614340880249819e-02  3.138626001608985e-03
0.0300  1.544881803059250e-02  2.161700026117305e-01  2.336473501457779e-02  4.711077584423949e-03
0.0400  1.712284813632711e-02  1.260095656017784e-01  7.939205311574446e-03  5.787376691821596e-03
0.0500  1.808502046112804e-02  7.093314804879522e-02  2.515755746056151e-03  6.456062855206367e-03
0.0600  1.861244099516068e-02  3.730731486030767e-02  6.959178710430669e-04  6.838115137328153e-03
0.0700  1.887453322662536e-02  1.679635054969093e-02  1.410586958940514e-04  7.032053746638706e-03
0.0800  1.897488172603363e-02  4.303657239505686e-03  9.260732817574851e-06  7.107025867126119e-03
0.0900  1.897681603899035e-02  -3.286910297103500e-03  5.401889650602509e-06  7.108474931538460e-03
0.1000  1.891905312164038e-02  -7.880614218300443e-03  3.105204022883955e-05  7.065266278035991e-03
0.1100  1.882526139670857e-02  -1.064236180076945e-02  5.662993234923838e-05  6.995387418792870e-03
0.1200  1.870990838296760e-02  -1.228439453257017e-02  7.545317451591989e-05  6.909920692098307e-03
0.1300  1.858183603705540e-02  -1.324218621310660e-02  8.767774785129525e-05  6.815645417780754e-03
0.1400  1.844644677922160e-02  -1.378199010148930e-02  9.497162557877446e-05  6.716688189901286e-03
0.1500  1.830704006713784e-02  -1.406659510781846e-02  9.893454896365107e-05  6.615550746087935e-03
0.1600  1.816562960006627e-02  -1.419553026861708e-02  1.007565398036119e-04  6.513743462209516e-03
0.1700  1.802344297142433e-02  -1.422964646010474e-02  1.012414191897856e-04  6.412173345524292e-03
0.1800  1.788122716479446e-02  -1.420614608377570e-02  1.009072932767878e-04  6.311380768066319e-03
0.1900  1.773943533925085e-02  -1.414777247660447e-02  1.000797330248834e-04  6.211683575792091e-03
0.2000  1.759834103291815e-02  -1.406842847561429e-02  9.896033988673750e-05  6.113264689132188e-03
0.2100  1.745810798878016e-02  -1.397661170550297e-02  9.767283738320127e-05  6.016225306324845e-03
0.2200  1.731883284716462e-02  -1.387751497288726e-02  9.629271091135499e-05  5.920617197817560e-03
0.2300  1.718057124844496e-02  -1.377431048358713e-02  9.486581464912918e-05  5.826462301602129e-03
0.2400  1.704335379246281e-02  -1.366893503516476e-02  9.341989249777735e-05  5.733764609786478e-03
0.2500  1.690719579617546e-02  -1.356257009708209e-02  9.197165381913264e-05  5.642517377200623e-03
0.2600  1.677210325943233e-02  -1.345593533985891e-02  9.053109793523199e-05  5.552707491812521e-03
0.2700  1.663807651233741e-02  -1.334946810371634e-02  8.910414932606993e-05  5.464318123396264e-03
0.2800  1.650511244509498e-02  -1.324343312864502e-02  8.769426051644622e-05  5.377330327818969e-03
0.2900  1.637320587116268e-02  -1.313798964510061e-02  8.630338595738537e-05  5.291724017867791e-03
0.3000  1.624235036049543e-02  -1.303323239424857e-02  8.493257332124511e-05  5.207478549882427e-03
0.3100  1.611253874879533e-02  -1.292921670828485e-02  8.358232234489611e-05  5.124573077390491e-03
0.3200  1.598376344866772e-02  -1.282597384481180e-02  8.225280253389826e-05  5.042986763455295e-03
0.3300  1.585601663966089e-02  -1.272352036237577e-02  8.094398520589538e-05  4.962698907361527e-03
0.3400  1.572929038425479e-02  -1.262186385266901e-02  7.965572355765630e-05  4.883689019377545e-03
0.3500  1.560357669857532e-02  -1.252100644513428e-02  7.838780119954713e-05  4.805936864057445e-03
0.3600  1.547886759542866e-02  -1.242094694957906e-02  7.713996156212872e-05  4.729422484494050e-03
0.3700  1.535515511041327e-02  -1.232168216604656e-02  7.591192570053497e-05  4.654126215050020e-03
0.3800  1.523243131768678e-02  -1.222320768553442e-02  7.470340306185382e-05  4.580028687132134e-03
0.3900  1.511068833940937e-02  -1.212551837941002e-02  7.351409798470507e-05  4.507110830776987e-03
0.4000  1.498991835132237e-02  -1.202860869849090e-02  7.234371361070543e-05  4.435353873726752e-03
0.4100  1.487011358596547e-02  -1.193247285575224e-02  7.119195422663200e-05  4.364739339012582e-03
0.4200  1.475126633445163e-02  -1.183710493788327e-02  7.005852665523029e-05  4.295249041662408e-03
0.4300  1.463336894736173e-02  -1.174249897334184e-02  6.894314106946704e-05  4.226865084906735e-03
0.4400  1.451641383510248e-02  -1.164864897381241e-02  6.784551145755040e-05  4.159569856108577e-03
0.4500  1.440039346793778e-02  -1.155554895940376e-02  6.676535587658868e-05  4.093346022554233e-03
0.4600  1.428530037582174e-02  -1.146319297390600e-02  6.570239657850390e-05  4.028176527187366e-03
0.4700  1.417112714811208e-02  -1.137157509397077e-02  6.465636005890817e-05  3.964044584335962e-03
0.4800  1.405786643321182e-02  -1.128068943457740e-02  6.362697705969313e-05  3.900933675461825e-03
0.4900  1.394551093816854e-02  -1.119053015222917e-02  6.261398254397506e-05  3.838827544950132e-03
0.5000  1.383405342824923e-02  -1.110109144676299e-02  6.161711565469717e-05  3.777710195949276e-03
0.5100  1.372348672650154e-02  -1.101236756231250e-02  6.063611966373625e-05  3.717565886266793e-03
0.5200  1.361380371330832e-02  -1.092435278775459e-02  5.967074191566069e-05  3.658379124324472e-03
0.5300  1.350499732593928e-02  -1.083704145684128e-02  5.872073376864833e-05  3.600134665174129e-03
0.5400  1.339706055810242e-02  -1.075042794814040e-02  5.778585053407908e-05  3.542817506574526e-03
0.5500  1.328998645949667e-02  -1.066450668486030e-02  5.686585141571502e-05  3.486412885129410e-03
0.5600  1.318376813536669e-02  -1.057927213460505e-02  5.596049944901544e-05  3.430906272486176e-03
0.5700  1.307839874606031e-02  -1.049471880908794e-02  5.506956144091208e-05  3.376283371594558e-03
0.5800  1.297387150658893e-02  -1.041084126382082e-02  5.419280791023711e-05  3.322530113024576e-03
0.5900  1.287017968619123e-02  -1.032763409778958e-02  5.333001302891298e-05  3.269632651342912e-03
0.6000  1.276731660790002e-02  -1.024509195312236e-02  5.248095456396627e-05  3.217577361546871e-03
0.6100  1.266527564811250e-02  -1.016320951475429e-02  5.164541382039605e-05  3.166350835555054e-03
0.6200  1.256405023616393e-02  -1.008198151009119e-02  5.082317558491032e-05  3.115939878753843e-03
0.6300  1.246363385390451e-02  -1.000140270867372e-02  5.001402807053299e-05  3.066331506598857e-03
0.6400  1.236402003527977e-02  -9.921467921842796e-03  4.921776286207781e-05  3.017512941270502e-03
0.6500  1.226520236591424e-02  -9.842172002406861e-03  4.843417486248074e-05  2.969471608382747e-03
0.6600  1.216717448269837e-02  -9.763509844311263e-03  4.766306223998147e-05  2.922195133744307e-03
0.6700  1.206993007337887e-02  -9.685476382309984e-03  4.690422637614225e-05  2.875671340171371e-03
0.6800  1.197346287615220e-02  -9.608066591639776e-03  4.615747181469219e-05  2.829888244351092e-03
