# omega0=1.00, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=250.00, h=0.01
#   t          x(t)                 v(t)       
0.00  -8.010000000000000e-01  1.234000000000000e-01
1.163552834662887e-01 -7.759719282621963e-01 3.057172301678939e-01
2.327105669325774e-01 -7.301485407049736e-01 4.804996326730197e-01
3.490658503988658e-01 -6.645284605397325e-01 6.456394014312791e-01
4.654211338651543e-01 -5.803603239659121e-01 7.989449272656608e-01
5.817764173314427e-01 -4.791521897093412e-01 9.381558460949433e-01
6.981317007977311e-01 -3.626759128068262e-01 1.061014942719898e+00
8.144869842640196e-01 -2.329599201410519e-01 1.165394271229078e+00
9.308422677303080e-01 -9.226477919539823e-02 1.249461434078368e+00
1.047197551196597e+00 5.696171553646574e-02 1.311860201636860e+00
1.163552834662887e+00 2.121496724188165e-01 1.351871348307814e+00
1.279908118129176e+00 3.706880754834707e-01 1.369518741379433e+00
1.396263401595466e+00 5.300135737269694e-01 1.365594447832698e+00
1.512618685061755e+00 6.876969268301167e-01 1.341593434887410e+00
1.628973968528045e+00 8.415170080151713e-01 1.299568299345639e+00
1.745329251994334e+00 9.895144968219712e-01 1.241930882119794e+00
1.861684535460624e+00 1.130021082261549e+00 1.171235666489587e+00
1.978039818926913e+00 1.261664049097145e+00 1.089978198647943e+00
2.094395102393201e+00 1.383349513567718e+00 1.000432721012864e+00
2.210750385859488e+00 1.494229689256701e+00 9.045410198704587e-01
2.327105669325776e+00 1.593660279876064e+00 8.038532110909645e-01
2.443460952792063e+00 1.681153681996358e+00 6.995132980468980e-01
2.559816236258350e+00 1.756332585085636e+00 5.922784801201780e-01
2.676171519724638e+00 1.818887218716082e+00 4.825607120360577e-01
2.792526803190925e+00 1.868538242419773e+00 3.704807104856258e-01
2.908882086657212e+00 1.905006285325920e+00 2.559273093106778e-01
3.025237370123500e+00 1.927988485096598e+00 1.386179364028039e-01
3.141592653589787e+00 1.937142037414409e+00 1.815855108064936e-02
3.257947937056074e+00 1.932074699409732e+00 -1.058965524846238e-01
3.374303220522362e+00 1.912342331748103e+00 -2.339831416050260e-01
3.490658503988649e+00 1.877453851867398e+00 -3.664607220758795e-01
3.607013787454936e+00 1.826884338873211e+00 -5.035382026689887e-01
3.723369070921223e+00 1.760097397773369e+00 -6.451886892433201e-01
3.839724354387511e+00 1.676578143174061e+00 -7.910521629448611e-01
3.956079637853798e+00 1.575878134366106e+00 -9.403281017983696e-01
4.072434921320085e+00 1.457673056319715e+00 -1.091665627199957e+00
4.188790204786373e+00 1.321832619429858e+00 -1.243066693055563e+00
4.305145488252660e+00 1.168499793777520e+00 -1.391827457594643e+00
4.421500771718947e+00 9.981730259311382e-01 -1.534551863596190e+00
4.537856055185235e+00 8.117808421466420e-01 -1.667274957131025e+00
4.654211338651522e+00 6.107342061322246e-01 -1.785725302534758e+00
4.770566622117809e+00 3.969398689578891e-01 -1.885730709996967e+00
4.886921905584097e+00 1.727597515783838e-01 -1.963729865405613e+00
5.003277189050384e+00 -5.909146170121873e-02 -2.017305134589478e+00
5.119632472516671e+00 -2.957063393210382e-01 -2.045619453465920e+00
5.235987755982959e+00 -5.341843310179254e-01 -2.049644213875293e+00
5.352343039449246e+00 -7.718422467178155e-01 -2.032112937354032e+00
5.468698322915533e+00 -1.006403535760173e+00 -1.997211705835714e+00
5.585053606381821e+00 -1.236139990667507e+00 -1.950089294336582e+00
5.701408889848108e+00 -1.459951766739898e+00 -1.896307567842590e+00
5.817764173314395e+00 -1.677385631662738e+00 -1.841345594403378e+00
