# uniform1 uniform2 gaussian1 gaussian2
  0.734355 0.455726 -0.958975 0.034727
  0.817437 0.255905 -0.846650 -0.639948
  0.204868 0.614660 0.869388 0.409964
  0.811038 0.732945 0.565117 1.212452
  0.229724 0.160277 -1.043463 0.476180
  0.847024 0.723836 -0.235952 -0.665082
  0.467622 0.032167 0.223405 0.077730
  0.027810 0.029219 1.207019 -1.799478
  0.497970 0.366762 1.172634 -1.925285
  0.653454 0.989966 1.672964 0.633739
  0.481401 0.296496 -0.555138 1.789628
  0.524348 0.672536 -2.109971 0.143804
  0.039762 0.090016 -0.280304 -0.740350
  0.659214 0.052271 0.940173 -0.713190
  0.560540 0.350233 0.431172 0.333762
  0.327787 0.251776 0.988208 -0.509093
  0.285901 0.312532 -1.215619 0.325263
  0.673091 0.248355 0.673456 -1.856726
  0.909695 0.540466 -0.151396 0.936232
  0.109261 0.257352 0.658011 -1.844995
  0.006331 0.693987 0.980149 -0.000040
  0.908462 0.230308 -1.318511 -0.466946
  0.947886 0.897436 -1.791799 0.975083
  0.081989 0.590809 0.803384 0.267012
  0.092011 0.776124 0.125148 -0.349846
  0.467655 0.803969 1.490679 -0.430276
  0.597504 0.713254 -1.496490 1.180623
  0.797400 0.479975 0.613038 2.137463
  0.172824 0.067636 -1.652600 1.091694
  0.471097 0.731437 2.120646 -0.497375
  0.192636 0.577415 -0.178801 0.765338
  0.289505 0.226402 -0.636354 -1.213758
  0.450963 0.615031 -0.346964 1.689127
  0.188676 0.814886 -0.137500 -0.073632
  0.439830 0.640236 0.265456 -0.213271
  0.376867 0.958163 -0.475730 0.235482
  0.816595 0.017622 0.538228 -1.505893
  0.661841 0.096030 -0.897323 -0.646999
  0.177580 0.999570 -0.116849 -0.678542
  0.883100 0.145745 0.199101 -0.336359
  0.914144 0.363739 -2.151464 0.933943
  0.185282 0.589732 0.650438 -0.409332
  0.894332 0.971487 -0.514864 -1.301592
  0.582706 0.304386 -0.790631 -0.807105
  0.500261 0.910754 -1.066206 1.341161
  0.276767 0.719983 -0.428349 -0.068054
  0.239951 0.616964 -1.267380 -0.824816
  0.165971 0.541576 -0.053176 -1.246031
  0.715658 0.083511 0.818254 1.379781
  0.712782 0.559231 -0.733327 -0.382617
  0.853504 0.370573 -0.422757 1.100163
  0.027234 0.020275 -1.330276 0.377383
  0.608893 0.584609 -0.143255 0.801834
  0.493788 0.139366 -0.926194 0.298172
  0.047648 0.920267 1.530400 0.397745
  0.260801 0.384079 -0.129846 0.910556
  0.340646 0.312063 2.008429 -0.479508
  0.362433 0.862135 -0.113178 1.159411
  0.641902 0.213962 1.374602 0.144100
  0.233317 0.163321 -1.005152 0.043972
  0.058604 0.535273 -0.517336 -1.071101
  0.467092 0.225597 -1.515051 0.083019
  0.402170 0.308148 -1.185844 -2.089734
  0.749006 0.992379 1.477941 -0.168873
  0.118014 0.387506 -0.634271 -1.379679
  0.503727 0.536717 -1.471812 -1.210046
  0.920223 0.969917 -0.480039 -1.397414
  0.346515 0.766057 1.027695 -0.379471
  0.845767 0.718085 -0.594770 -0.406699
  0.956926 0.872346 -0.582059 0.308139
  0.053680 0.218733 -1.383576 1.327534
  0.505782 0.840491 0.320734 0.811650
  0.229571 0.306223 -0.243774 -0.094168
  0.707503 0.018260 -0.595594 -0.310260
  0.941624 0.489291 -1.218202 -2.103129
  0.973793 0.479720 0.098089 0.143886
  0.103786 0.684729 1.249795 -1.392560
  0.787713 0.594561 1.123078 1.589991
  0.060012 0.567167 -1.703661 0.296311
  0.615887 0.524500 -0.563597 -0.346733
  0.494122 0.577487 1.227318 -0.259181
  0.270968 0.852311 -0.274625 0.856064
  0.644322 0.602531 0.889295 0.487373
  0.601416 0.297781 2.812395 -0.595227
  0.577834 0.464702 -0.499512 1.389715
  0.823834 0.271158 -0.500885 -0.162455
  0.421944 0.199906 0.680172 -2.645908
  0.426748 0.915288 0.753061 -0.032972
  0.985071 0.230211 -0.236263 -0.418803
  0.028712 0.216277 0.160641 1.150876
  0.501035 0.253344 0.877614 -1.150952
  0.860819 0.861772 -0.244625 -1.735840
  0.957868 0.015033 0.608052 -1.476233
  0.469713 0.775655 2.598169 0.845693
  0.417029 0.190508 0.568568 -1.598409
  0.581965 0.463818 0.114706 0.532059
  0.422860 0.961340 -0.871774 1.098755
  0.582825 0.392940 -2.051740 1.082592
  0.962060 0.732376 -1.801203 0.579686
  0.960510 0.872603 1.218281 0.958019
